COMID,Lat,Lon
900137,42.75860751,-109.5128996
900138,42.74588356,-121.433678
900139,42.75807961,-121.6889602
900140,42.71280421,-122.0800656
900141,42.71479776,-122.0638354
900142,42.72590314,-110.001379
900143,42.79866075,-109.9716621
900144,42.72273052,-109.7259995
900145,42.71942105,-109.7083896
900146,42.71922216,-120.9702123
900147,42.69864626,-120.8781348
900148,42.72990107,-121.4470483
900149,42.69543635,-121.2407645
900150,42.69130832,-121.2330831
900151,42.72100452,-121.1764608
900152,42.6940693,-109.7323031
900153,42.72456269,-109.6680501
900154,42.69096077,-121.2194599
900155,42.71958733,-109.5894305
900156,42.69567828,-109.5533501
900157,42.68738336,-121.2284093
900158,42.68382111,-109.7564162
900159,42.69573371,-109.7688436
900160,42.67771468,-109.7781943
900161,42.68871951,-121.1342155
900162,42.68503877,-120.9066147
900163,42.67059323,-121.3034652
900164,42.68392181,-121.2699365
900165,42.68162532,-109.9715586
900166,42.73358754,-110.079813
900167,42.67455208,-109.5709559
900168,42.70069452,-109.4066393
900169,42.65902832,-110.0684652
900170,42.73131678,-110.1815199
900171,42.64857658,-121.8825004
900172,42.69964213,-121.837439
900173,42.64803661,-109.5391002
900174,42.62895835,-109.5210417
900175,42.64513607,-109.7150428
900176,42.62370512,-109.5118164
900177,42.62439862,-109.4649961
900178,42.64713477,-121.7512759
900179,42.61337288,-109.5028041
900180,42.6180685,-110.2550376
900181,42.65295711,-110.3829663
900182,42.61554952,-121.6510952
900183,42.63595224,-110.2059812
900184,42.64686149,-109.8305776
900185,42.60614382,-110.2094781
900186,42.60046248,-109.8374118
900187,42.59976048,-121.7590813
900188,42.6042827,-121.7175383
900189,42.59649232,-109.4941952
900190,42.59513096,-109.4675099
900191,42.65060333,-109.2700405
900192,42.59075434,-109.2664626
900193,42.60534786,-121.8676221
900194,42.57129388,-109.2769128
900195,42.5787326,-109.2442784
900196,42.62414069,-121.3425838
900197,42.56469868,-121.3212371
900198,42.61543871,-109.9440223
900199,42.58384217,-109.9015331
900200,42.59141499,-122.0761063
900201,42.58451343,-121.8249967
900202,42.55980268,-110.1908919
900203,42.57592324,-110.1720466
900204,42.5530096,-122.085947
900205,42.6222256,-122.0195604
900206,42.64686442,-121.971849
900207,42.5721266,-121.6663202
900208,42.5419192,-121.6030449
900209,42.5445448,-110.1251051
900210,42.55134491,-109.9776958
900211,42.53415268,-110.0846575
900212,42.58898058,-110.0754842
900213,42.52386338,-110.0732828
900214,42.52526079,-110.0339463
900215,42.54540607,-110.4258649
900216,42.54096634,-122.0254719
900217,42.52964267,-121.9776834
900218,42.55277661,-121.7498231
900219,42.51611284,-110.3467347
900220,42.51062441,-110.3069805
900221,42.57426412,-110.4003583
900222,42.51772989,-110.1996945
900223,42.52816936,-109.9635446
900224,42.52081508,-109.880241
900225,42.50371737,-109.9298912
900226,42.50404616,-109.8962144
900227,42.51927852,-121.6087871
900228,42.49766185,-121.5932455
900229,42.52409889,-121.5608018
900230,42.50112209,-121.164877
900231,42.55224511,-121.120648
900232,42.52850382,-121.3059887
900233,42.50238595,-121.256521
900234,42.51273576,-110.4569757
900235,42.52244554,-121.079048
900236,42.48143487,-121.5052542
900237,42.48430328,-121.1372639
900238,42.48006488,-121.1076763
900239,42.53584837,-120.9523987
900240,42.48244966,-121.5523713
900241,42.49479974,-110.3435445
900242,42.53968216,-109.3774448
900243,42.47184921,-109.3816923
900244,42.46375,-121.355
900245,42.53203719,-121.3677123
900246,42.4674294,-121.4010206
900247,42.46414065,-121.3798671
900248,42.47965922,-121.6165553
900249,42.47474289,-121.27985
900250,42.46355664,-121.4645244
900251,42.4607288,-121.3204805
900252,42.48409907,-121.9973249
900253,42.45657906,-121.2669898
900254,42.45145426,-121.9688954
900255,42.51386909,-121.9135397
900256,42.4652616,-122.1832408
900257,42.4614406,-109.456891
900258,42.4595822,-109.4285485
900259,42.44626634,-122.2030004
900260,42.4441621,-121.1795466
900261,42.4569092,-121.1087379
900262,42.4415325,-122.1702939
900263,42.45293235,-122.0738129
900264,42.43206289,-121.0793786
900265,42.43255715,-121.0156647
900266,42.43381576,-110.1871761
900267,42.42041667,-121.0475
900268,42.45433472,-109.8092281
900269,42.44091819,-121.3486153
900270,42.46708881,-110.0775487
900271,42.4412547,-109.5074111
900272,42.43212066,-109.4620589
900273,42.41564195,-121.3421529
900274,42.41393178,-110.0710532
900275,42.42545659,-109.2700706
900276,42.50193431,-109.2317054
900277,42.41251193,-121.3332286
900278,42.41715156,-110.1060754
900279,42.408979,-110.0957112
900280,42.41676043,-109.5209864
900281,42.40997246,-109.4869405
900282,42.42183973,-121.2530258
900283,42.3980355,-110.1030944
900284,42.40553562,-109.2350485
900285,42.40100338,-109.2135641
900286,42.39904557,-120.8970795
900287,42.40560863,-110.3102563
900288,42.4050921,-110.1956772
900289,42.39539829,-109.2524435
900290,42.38915884,-109.2367295
900291,42.40893414,-122.1797592
900292,42.40021271,-120.7970976
900293,42.38725879,-110.0735863
900294,42.38790218,-120.9309556
900295,42.39614539,-121.0338137
900296,42.38144047,-120.8608867
900297,42.37679945,-120.806287
900298,42.39518412,-120.9925912
900299,42.38658052,-109.5046405
900300,42.37632635,-109.4619564
900301,42.36959862,-110.2939104
900302,42.36354812,-120.9281002
900303,42.40552479,-121.904489
