COMID,Lat,Lon
13000064,59.24133305,-132.7183822
13000065,59.22578575,-135.6410623
13000066,59.19553158,-135.033931
13000067,59.20541866,-134.7611657
13000068,59.16243552,-134.6652852
13000069,59.17855076,-133.4163888
13000070,59.20211288,-132.2982058
13000071,59.17140431,-132.8425196
13000072,59.14347289,-134.6592619
13000073,59.14055555,-132.3209733
13000074,59.13153868,-132.8938545
13000075,59.20992516,-133.1289239
13000076,59.12375169,-132.9640547
13000077,59.15602503,-136.7974865
13000078,59.15300708,-136.7592795
13000079,59.1381574,-136.3945464
13000080,59.13425344,-133.5803517
13000081,59.12877451,-137.1817297
13000082,59.12798319,-137.1017805
13000083,59.09223437,-137.099216
13000084,59.11393515,-132.7697921
13000085,59.12118644,-137.851038
13000086,59.10375817,-136.2098317
13000087,59.11538323,-132.3881721
13000088,59.08511341,-133.7504326
13000089,59.08805572,-130.6410019
13000090,59.10872622,-130.536792
13000091,59.10953106,-133.3380227
13000092,59.07822189,-133.2395916
13000093,59.06571884,-136.1434194
13000094,59.07978628,-137.0539431
13000095,59.08280858,-135.4955842
13000096,59.0557181,-133.2277761
13000097,59.0666215,-137.2392403
13000098,59.05296894,-136.0736531
13000099,59.08007563,-132.859837
13000100,59.06787084,-133.8513658
13000101,59.0674307,-136.6514208
13000102,59.0693138,-136.596448
13000103,59.01190472,-132.3019048
13000104,59.03887681,-138.0281674
13000105,59.03642384,-136.7518065
13000106,59.01059463,-132.3167542
13000107,59.02903328,-133.1782092
13000108,59.05017787,-133.0607504
13000109,59.03898928,-137.8263326
13000110,59.01721551,-136.4544883
13000111,59.01068921,-136.4162127
13000112,59.02645508,-133.3436629
13000113,59.00900231,-135.0005719
13000114,59.02603608,-134.9445754
13000115,59.03648997,-130.7161347
13000116,59.01979685,-130.6400759
13000117,58.99182712,-133.5448275
13000118,58.97876061,-130.6994864
13000119,58.99914134,-130.8524894
13000120,58.96970341,-130.7319858
13000121,58.99076386,-136.5293675
13000122,59.00274797,-132.1487121
13000123,58.96596363,-131.9894679
13000124,58.97986912,-134.6642144
13000125,58.97237885,-134.7219083
13000126,58.94791667,-134.7279167
13000127,58.95049038,-134.7255882
13000128,58.95014902,-134.7030247
13000129,58.94476084,-134.7180665
13000130,58.96739103,-136.3889331
13000131,58.96269484,-134.9488121
13000132,58.93477909,-134.8303786
13000133,58.94414922,-130.8270422
13000134,58.98838805,-137.1565449
13000135,58.95640602,-133.4645937
